"Managerial",321,1986,10,.1884973,.0095156,354445.9,13495937.0695
"Managerial",322,1986,11,.3314474,.0111925,352426.1,13537532.4098
"Managerial",323,1986,12,.3081036,.0117346,281163.4,13460931.0502
"Managerial",324,1987,1,.329966,.0107489,375711.4,13430769.3639
"Managerial",325,1987,2,.2577717,.0074442,373968.7,13405462.7555
"Managerial",326,1987,3,.3082124,.0104348,347822.2,13646437.4225
"Managerial",327,1987,4,.3099156,.0101017,356328.6,13552419.3142
"Managerial",328,1987,5,.265792,.0091733,372106.7,13674641.1833
"Managerial",329,1987,6,.3029913,.00978,358338.2,13859439.0692
"Managerial",330,1987,7,.2887709,.0106933,325412.8,14305392.2962
"Managerial",331,1987,8,.3282515,.0109856,317610,14399775.8766
"Managerial",332,1987,9,.314939,.0095197,377465.8,14375234.6343
"Managerial",333,1987,10,.2797548,.0066777,375276.8,14422948.8853
"Managerial",334,1987,11,.2541723,.0102004,357815.9,14054795.4757
"Managerial",335,1987,12,.2855732,.0124312,331128.6,14076725.3853
"Managerial",336,1988,1,.3453048,.0081341,322989.1,14087616.1882
"Managerial",337,1988,2,.3290619,.006461,352773.2,14366830.7547
"Managerial",338,1988,3,.3979063,.0090275,293939.8,14409507.4062
"Managerial",339,1988,4,.3380959,.0098128,289176.1,14746828.4459
"Managerial",340,1988,5,.398215,.0074591,303174.5,14941119.0725
"Managerial",341,1988,6,.3128231,.0050195,314392.1,15144729.7417
"Managerial",342,1988,7,.2370073,.0100805,322739.8,15127593.0129
"Managerial",343,1988,8,.3873229,.0109266,388994.4,15088355.7665
"Managerial",344,1988,9,.4143488,.00593,330653.5,14757231.3560
"Managerial",345,1988,10,.3892717,.0075354,286761.8,14719471.8850
"Managerial",346,1988,11,.357029,.0073767,272534.1,14862801.7115
"Managerial",347,1988,12,.2676455,.0102997,310384.7,14821858.7387
"Managerial",348,1989,1,.4358725,.0100953,417039.3,14963922.3061
"Managerial",349,1989,2,.3702602,.0096718,395825.8,15084979.9804
"Managerial",350,1989,3,.3804016,.0134327,364213.2,15230473.1016
"Managerial",351,1989,4,.3819794,.0081621,304598.8,15149682.2514
"Managerial",352,1989,5,.4178767,.0092778,333611.4,15459589.5917
"Managerial",353,1989,6,.2775591,.0094166,294658.1,15230408.2016
"Managerial",354,1989,7,.3593155,.0090343,328436.6,15498863.3572
"Managerial",355,1989,8,.3690676,.0086499,310471.5,15317379.2566
"Managerial",356,1989,9,.3883069,.0085512,385113.4,15302576.2901
"Managerial",357,1989,10,.3622086,.0104141,324024.9,15463317.5321
"Managerial",358,1989,11,.2095072,.0082081,367523.1,15042341.8880
"Managerial",359,1989,12,.3721167,.0109152,331987.4,15027326.3046
"Managerial",360,1990,1,.4432894,.0090306,322574.2,15331773.1862
"Managerial",361,1990,2,.3167766,.0112257,325602.5,15158530.7810
"Managerial",362,1990,3,.3731396,.0090386,326555.2,15065215.8909
"Managerial",363,1990,4,.2948568,.0057146,342168.6,15175589.7201
"Managerial",364,1990,5,.2618953,.0116913,294813.5,14986897.8321
"Managerial",365,1990,6,.315492,.0114985,354930.5,15250255.2905
"Managerial",366,1990,7,.3941304,.0106246,344975.9,15400896.6075
"Managerial",367,1990,8,.2393467,.0095362,359593.8,15425301.5971
"Managerial",368,1990,9,.2577627,.0105761,411770.1,15345795.2273
"Managerial",369,1990,10,.2772329,.0106547,368466.5,15233892.4378
"Managerial",370,1990,11,.2071386,.0110802,356404.9,15181232.1895
"Managerial",371,1990,12,.2268827,.0131592,353047.9,15195584.0002
"Managerial",372,1991,1,.3769975,.0109011,485216.8,15414969.6333
"Managerial",373,1991,2,.2804337,.0103032,446843.4,15480533.0375
"Managerial",374,1991,3,.3117314,.0106279,453741.2,15313184.8567
"Managerial",375,1991,4,.2721412,.0123824,441707.9,15578900.1896
"Managerial",376,1991,5,.2897313,.0080695,492854.7,15337201.2299
"Managerial",377,1991,6,.1761408,.0072022,485016.9,15429682.0505
"Managerial",378,1991,7,.2907087,.013486,537097.5,15648822.6313
"Managerial",379,1991,8,.3868394,.0100085,520375.3,15284542.9912
"Managerial",380,1991,9,.2530321,.0124047,529455.2,15453016.7686
"Managerial",381,1991,10,.2854395,.0076035,530529.1,15580071.6120
"Managerial",382,1991,11,.1414281,.0075457,461334.3,15534714.0495
"Managerial",383,1991,12,.3425232,.014633,512574.3,15888852.2660
"Managerial",384,1992,1,.22821,.0109485,551068.5,15440520.5700
"Managerial",385,1992,2,.2588148,.0098422,584070.5,15283010.4067
"Managerial",386,1992,3,.295659,.013183,544752.2,15418747.9543
"Managerial",387,1992,4,.2090357,.0103525,521480.2,15464361.6033
"Managerial",388,1992,5,.1933827,.0077285,589474,15352989.8005
"Managerial",389,1992,6,.2092739,.0130966,547232.1,15496890.4453
"Managerial",390,1992,7,.1927619,.0105101,569066.1,15306923.4503
"Managerial",391,1992,8,.2245964,.0092877,611268.3,15112726.7319
"Managerial",392,1992,9,.2267103,.0090373,635340.4,15354296.3075
"Managerial",393,1992,10,.2312022,.0108387,588034,15359342.7056
"Managerial",394,1992,11,.1937487,.0088794,548327.9,15539399.1332
"Managerial",395,1992,12,.2018963,.0176174,543551.7,15514623.9161
"Managerial",396,1993,1,.2398149,.0105542,612266.6,15840611.9893
"Managerial",397,1993,2,.2317797,.0081993,616081.9,15782655.8297
